index,text
D40,"['lol', 'peopl', 'kany', 'west', 'tattoo', 'http', 'co', 'uqq1xicnox', 'kany', 'kanyewest', 'ye', 'tattoo', 'tattoo', 'antisemit', 'rap', 'hiphop']"
D41,"['decent', 'dark', 'ep', '11', 'decent', 'warzon', 'live', 'warzon', 'callofduti', 'mw2', 'podcast', 'newepisod', 'elon', 'kany', 'twitch', 'youtub', 'twitter', 'decent', 'cultur', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspac', 'omegl', 'follow', 'like', 'subscrib', 'http', 'co', 'hc9yhanp2q']"
D42,"['decent', 'dark', 'ep', '11', 'decent', 'warzon', 'live', 'warzon', 'callofduti', 'mw2', 'podcast', 'newepisod', 'elon', 'kany', 'twitch', 'youtub', 'twitter', 'decent', 'cultur', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspac', 'omegl', 'follow', 'like', 'subscrib', 'http', 'co', 'bmlhtfllus']"
D43,"['decent', 'dark', 'ep', '11', 'decent', 'warzon', 'live', 'warzon', 'callofduti', 'mw2', 'podcast', 'newepisod', 'elon', 'kany', 'twitch', 'youtub', 'twitter', 'decent', 'cultur', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspac', 'omegl', 'follow', 'like', 'subscrib', 'http', 'co', '5oxqrui6f1']"
D44,"['decent', 'dark', 'ep', '11', 'decent', 'warzon', 'live', 'warzon', 'callofduti', 'mw2', 'podcast', 'newepisod', 'elon', 'kany', 'twitch', 'youtub', 'twitter', 'decent', 'cultur', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspac', 'omegl', 'follow', 'like', 'subscrib', 'http', 'co', 'oq8ceejx7n']"
D45,"['therealoj32', 'ask', 'elonmusk', 'plea', 'verfiy', 'twitter', 'right', 'fullsendpodcast', 'ojsimpson', 'elonmusk', 'kany', 'kardashian', 'http', 'co', '3kuqbqemif']"
D46,"['rich', 'divorc', 'dad', 'midlif', 'crisi', 'control', 'public', 'communic', 'medium', 'cultur', 'etc', 'alreadi', 'bought', 'fanci', 'car', 'compani', 'shini', 'toy', 'get', 'therapi', 'elon', 'twitter', 'tesla', 'kany', 'divorceddad', 'midlifecrisi', 'wegetitbroyoumissh']"
D47,"['eye', 'ye', 'kanyewest', 'teamkanyedaili', 'memelyxyz', 'kany', 'elonmusk', 'viralvideo', 'kanyemem', 'meme', 'http', 'co', '8wk5ywinnw']"
D48,"['one', 'k4s', 'ent', 'hflmag', 'cover', 'featur', 'rezasarrafieh', 'memor', 'moment', 'work', 'rocnat', 'lilnasx', 'snohalegrah', 'djkhale', 'rnb', 'hiphop', 'rocnat', 'vicmensa', 'jcole', 'kany', 'hflmag', 'http', 'co', 'hr63qxp0yj', 'http', 'co', '2wyka0sn2j']"
D49,"['elon', 'suspend', 'kany']"
D50,"['sinc', 'learn', 'fascism', 'exist', 'even', 'heart', 'black', 'american', 'exampl', 'kany', 'think', 'valid', 'question', 'anymor', 'nahceemah', 'http', 'co', '3yxtaxn3gi']"
D51,"['nahceemah', 'rosesknee25', 'jb', 'sc', 'logoffbr', 'sinc', 'learn', 'fascism', 'exist', 'even', 'heart', 'black', 'american', 'exampl', 'kany', 'think', 'valid', 'question', 'anymor', 'nahceemah']"
D52,"['elonmusk', 'veeeeeri', 'introspect', 'almost', 'univers', 'applic', 'elonmusk', 'repmtg', 'laurenboebert', 'realdonaldtrump', 'kany']"
D53,"['mama', 'mailboo', 'repkatcammack', 'awe', 'bless', 'pathet', 'antisemit', 'kany', 'as', 'kiss', 'heart', 'favor', 'tonight', 'bc', 'go', 'u', 'tweet', 'remind', 'kat', 'kind', 'trash', 'simp', 'jew', 'hater', 'abhorr', 'remain', 'silent']"
D54,"['half', 'black', 'half', 'jewish', 'person', 'thought', 'came', 'today', 'ye', 'billionair', 'recent', 'statement', 'still', 'current', 'far', 'wealthi', 'u', 'ever', 'jew', 'done', 'dirti', 'right', 'antisemit', 'hebrew', 'kany']"
D55,['kany']
D56,"['see', 'wall', 'bounc', 'apex', 'apexlegend', 'apexmobil', 'twitter', 'america', 'medium', 'meme', 'hockey', 'tmz', 'comedi', 'support', 'fomc', 'nft', 'meta', 'viral', 'trend', 'fifa', 'worldcup', 'podcast', 'funni', 'elect', 'sale', 'nation', 'kany', 'holiday', 'deal', 'coin', 'happi', 'communiti', 'digit', 'http', 'co', 'iwwooakfhv']"
D57,"['lorafrimane', 'put', 'kany']"
D58,"['look', 'truth', 'http', 'co', 'juo6x054nu', 'thenot', 'notic', 'trump', 'elon', 'musk', 'donald', 'kany', 'truth', 'redpil', 'fact', 'ye', 'http', 'co', '8glnskh5eb']"
D59,"['kareem', 'abdul', 'jabbar', 'retir', 'nba', '1989', 'remain', 'one', 'greatest', 'basketbal', 'player', 'time', 'mani', 'argu', 'simpli', 'greatest', 'abduljabbar', 'antisemit', 'kany', 'kareem', 'kyri', 'http', 'co', 'afaq2v303z', 'http', 'co', 'afaq2v303z']"
D60,"['cultur', 'council', 'podcast', 'episod', '24', 'live', 'live', 'podcast', 'newepisod', 'elon', 'kany', 'twitch', 'youtub', 'twitter', 'decent', 'cultur', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspac', 'omegl', 'follow', 'like', 'subscrib', 'http', 'co', 'bi0ykpxcln']"
D61,"['cultur', 'council', 'podcast', 'episod', '24', 'live', 'live', 'podcast', 'newepisod', 'elon', 'kany', 'twitch', 'youtub', 'twitter', 'decent', 'cultur', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspac', 'omegl', 'follow', 'like', 'subscrib', 'http', 'co', 'an6bye2wzv']"
D62,"['cultur', 'council', 'podcast', 'episod', '24', 'live', 'live', 'podcast', 'newepisod', 'elon', 'kany', 'twitch', 'youtub', 'twitter', 'decent', 'cultur', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspac', 'omegl', 'follow', 'like', 'subscrib', 'http', 'co', '4j1hckqklq']"
D63,"['cultur', 'council', 'podcast', 'episod', '24', 'live', 'live', 'podcast', 'newepisod', 'elon', 'kany', 'twitch', 'youtub', 'twitter', 'decent', 'cultur', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspac', 'omegl', 'follow', 'like', 'subscrib', 'http', 'co', 'f8ejf26dvz']"
D64,"['check', 'ismash', 'phraze', 'spotifi', 'youtub', 'applemus', 'http', 'co', 'al5oe2kfn1', 'ismash', 'alternativefact', 'album', 'phraze', 'lbm', 'hiphop', 'rap', 'music', 'beyonc', 'jayz', 'taylorswift', 'jenniferlopez', 'kany', 'amberros', 'kimkardashian', 'cardib', 'brittanyspear', 'christinaaguilera', 'jen']"
D65,"['elonmusk', 'could', 'wors', 'appoint', 'kany']"
D66,"['el', 'think', 'elonmusk', 'kany', 'ye', 'need', 'conservatorship', 'way', 'britneyspear', 'ever', 'elon', 'need', 'see', 'yeezi', 'implod', 'gon', 'na', 'happen', 'tesla']"
D67,"['patriot', 'jew', 'leagu', 'everyboyishitl', 'kany', 'jew', 'fifaworldcup', 'messi', 'uvaldemassacr']"
D68,"['kany', 'west', 'v', 'georg', 'floyd', 'manolo', 'pod', 'ye', 'ye24', 'kanyewest', 'kany', 'georgefloyd', 'blm', 'podcast', 'newpodcast', 'miguelcamachio', 'danieleyva2', 'http', 'co', 'rrwgtglsq5']"
D69,"['elon', 'musk', 'kany', 'west', 'suspend', 'account', 'kanyewest', 'teamkanyedaili', 'memelyxyz', 'kany', 'hotnew', 'elonmusk', 'twitter', 'elonmem', 'viralvideo', 'meme', 'http', 'co', 'qu7w2klecw']"
D70,"['wow', 'nazi', 'much', 'newyorktim', 'kany', 'http', 'co', 's6y8ndd6wt']"
D71,"['think', 'colonis', 'help', 'africa', 'coloni', 'africa', 'nigeria', 'kany']"
D72,"['nbc', 'news', 'nypd', 'search', 'suspect', 'said', 'kany', '2024', 'antisemit', 'attack', 'insid', 'central', 'park', 'new', 'york', 'polic', 'depart', 'ask', 'tip', 'suspect', 'assault', '63', 'year', 'old', 'man', 'central', 'park', 'last', 'week', 'http', 'co', 'vdeyjfxd0k']"
D73,"['nick', 'fuent', 'bad', 'influenc', 'kany', 'becom', 'babylon', 'wolf', 'sheep', 'amp', 'apo', 'cloth', 'http', 'co', 'fnohqs6hhq']"
D74,"['cultur', 'council', 'podcast', 'go', 'live', '8pm', 'est', 'twitter', 'twitter', 'space', 'youtub', 'amp', 'twitch', 'hop', 'space', 'chat', 'let', 'connect', 'decent', 'live', 'culturecouncil', 'youtub', 'twitchtv', 'podcast', 'twitterspac', 'like', 'follow', 'subscrib', 'elon', 'omegl', 'twitter', 'kany', 'trump']"
D75,"['one', 'k4s', 'ent', 'hflmag', 'cover', 'featur', 'rezasarrafieh', 'memor', 'moment', 'work', 'rocnat', 'lilnasx', 'snohalegrah', 'djkhale', 'rnb', 'hiphop', 'rocnat', 'vicmensa', 'jcole', 'kany', 'hflmag', 'http', 'co', 'hr63qxp0yj', 'http', 'co', 'zd04faweaj']"
D76,"['peopl', 'feel', 'like', 'cocki', 'shit', 'say', 'could', 'imagin', 'shit', 'think', 'kany', 'heardemy']"
D77,"['sooooo', 'kany', 'still', 'get', 'paid', 'song', 'snippet', 'blackadam', 'thought', 'cancel']"
D78,"['jay', 'z', 'surpris', 'kany', 'bet', 'award', 'kany', 'kanyewest', 'ye', 'donda', 'yeezi', 'jayz', 'http', 'co', 'f172ulbuko']"
D79,"['live', 'like', 'die', 'tomorrow', 'go', 'kanyewest', 'kanyewestmotiv', 'kanyewestinterview', 'kany', 'livelikeyouweredi', 'liveliketheresnotomorrow', 'goforit', 'betruetoyourself', 'motiv', 'motivationalquot', 'inspirationalquot', 'life', 'livefortoday', 'lifequot', 'fyp', 'fypシ', 'viral', 'http', 'co', 'nu7daysvxj']"
D80,"['djvlad', 'looooooovessss', 'kany', 'lmao', 'everi', 'segment', 'kany', 'claim', 'fw', 'hate', 'man', 'wear', 'yeezi', 'kany']"
D81,"['want', 'find', 'uncensor', 'inform', 'http', 'co', 'juo6x054nu', 'thenot', 'notic', 'trump', 'elon', 'musk', 'donald', 'kany', 'truth', 'redpil', 'fact', 'ye', 'http', 'co', '1ilq3narzv']"
D82,"['raw', 'stori', 'kany', 'west', 'ron', 'desanti', 'resurg', 'antisemit', 'hard', 'truth', 'often', 'hidden', 'grim', 'realiti', 'time', 'far', 'reach', 'event', 'appear', 'societi', 'suggest', 'profound', 'polit', 'moral', 'http', 'co', 'cdivlw5pln']"
D83,"['kany', 'west', 'ahead', 'time', 'kany', 'ye', 'kanyewest', 'interview', 'http', 'co', 'idgfwjnolr', 'via', 'youtub']"
D84,"['kany', 'call', 'davechappell', 'hack', 'point', 'joke', 'stole', 'owenbenjamin', 'steal', 'joke', 'http', 'co', 'cxufv6zxwu']"
D85,"['elon', 'hate', 'peopl', 'question', 'hide', 'elon', 'insecur', 'weak', 'man', 'hide', 'behind', 'money', 'elonthesnowflak', 'elonjet', 'freespeech', 'censorship', 'polici', 'twitter', 'joe', 'trump', 'black', 'kany', 'worldcupfin', 'ukraineunderattack', 'russiaisaterroistst']"
D86,"['look', 'tweet', 'tweet', 'million', 'dollar', 'tweet', 'million', 'stream', 'ifykyk', 'kany', 'maskoff']"
