index,text
D36,"['want', 'wish', 'kanye', 'happy', 'hanukkah', 'kanye', 'hanukkah', 'happyholidays']"
D37,"['arielhelwani', 'wont', 'ever', 'talk', 'apartheid', 'palestine', 'go', 'kanye', 'messi', 'ability', 'jewish', 'ppl', 'change', 'conversation', 'antisemitism', 'deflect', 'real', 'issues', 'dont', 'change', 'fact', 'goat𓃵', 'mma', 'ufc', 'muslim', 'named', 'teamkhabib', 'worldcup', 'https', 'co', 'ntdlje4tax', 'https', 'co', '77kx5lhmt6']"
D38,"['keithedwards', 'nytimes', 'new', 'york', 'times', 'simply', 'honest', 'us', 'fact', 'antisemitic', 'would', 'make', 'kanye', 'blush']"
D39,"['want', 'see', 'people', 'like', 'kanye', 'completely', 'lose', 'mind', 'elonmusk', 'step', 'make', 'jaredkushner', 'ceo', 'twitter', 'together', 'recently', 'perhaps', 'talking', 'https', 'co', 'u15h5tyizf']"
D40,"['lol', 'people', 'kanye', 'west', 'tattoos', 'https', 'co', 'uqq1xicnox', 'kanye', 'kanyewest', 'ye', 'tattoo', 'tattoos', 'antisemitism', 'rap', 'hiphop']"
D41,"['decent', 'dark', 'ep', '11', 'decent', 'warzone', 'live', 'warzone', 'callofduty', 'mw2', 'podcast', 'newepisode', 'elon', 'kanye', 'twitch', 'youtube', 'twitter', 'decent', 'culture', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspaces', 'omegle', 'follow', 'like', 'subscribe', 'https', 'co', 'hc9yhanp2q']"
D42,"['decent', 'dark', 'ep', '11', 'decent', 'warzone', 'live', 'warzone', 'callofduty', 'mw2', 'podcast', 'newepisode', 'elon', 'kanye', 'twitch', 'youtube', 'twitter', 'decent', 'culture', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspaces', 'omegle', 'follow', 'like', 'subscribe', 'https', 'co', 'bmlhtfllus']"
D43,"['decent', 'dark', 'ep', '11', 'decent', 'warzone', 'live', 'warzone', 'callofduty', 'mw2', 'podcast', 'newepisode', 'elon', 'kanye', 'twitch', 'youtube', 'twitter', 'decent', 'culture', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspaces', 'omegle', 'follow', 'like', 'subscribe', 'https', 'co', '5oxqrui6f1']"
D44,"['decent', 'dark', 'ep', '11', 'decent', 'warzone', 'live', 'warzone', 'callofduty', 'mw2', 'podcast', 'newepisode', 'elon', 'kanye', 'twitch', 'youtube', 'twitter', 'decent', 'culture', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspaces', 'omegle', 'follow', 'like', 'subscribe', 'https', 'co', 'oq8ceejx7n']"
D45,"['therealoj32', 'asking', 'elonmusk', 'please', 'verfiy', 'twitter', 'right', 'fullsendpodcast', 'ojsimpson', 'elonmusk', 'kanye', 'kardashians', 'https', 'co', '3kuqbqemif']"
D46,"['rich', 'divorced', 'dads', 'midlife', 'crisis', 'control', 'public', 'communications', 'media', 'culture', 'etc', 'already', 'bought', 'fancy', 'car', 'company', 'shiny', 'toys', 'get', 'therapy', 'elon', 'twitter', 'tesla', 'kanye', 'divorceddads', 'midlifecrisis', 'wegetitbroyoumissher']"
D47,"['eyes', 'ye', 'kanyewest', 'teamkanyedaily', 'memelyxyz', 'kanye', 'elonmusk', 'viralvideo', 'kanyememe', 'memely', 'https', 'co', '8wk5ywinnw']"
D48,"['one', 'k4s', 'ent', 'hflmag', 'cover', 'feature', 'rezasarrafieh', 'memorable', 'moments', 'working', 'rocnation', 'lilnasx', 'snohalegrah', 'djkhaled', 'rnb', 'hiphop', 'rocnation', 'vicmensa', 'jcole', 'kanye', 'hflmag', 'https', 'co', 'hr63qxp0yj', 'https', 'co', '2wyka0sn2j']"
D49,"['elon', 'suspend', 'kanye']"
D50,"['since', 'learning', 'fascism', 'exist', 'even', 'hearts', 'black', 'americans', 'example', 'kanye', 'think', 'valid', 'question', 'anymore', 'nahceemah', 'https', 'co', '3yxtaxn3gy']"
D51,"['nahceemah', 'rosesknee25', 'jb', 'sc', 'logoffbrent', 'since', 'learning', 'fascism', 'exist', 'even', 'hearts', 'black', 'americans', 'example', 'kanye', 'think', 'valid', 'question', 'anymore', 'nahceemah']"
D52,"['elonmusk', 'veeeeery', 'introspective', 'almost', 'universally', 'applicable', 'elonmusk', 'repmtg', 'laurenboebert', 'realdonaldtrump', 'kanye']"
D53,"['mama', 'mailboo', 'repkatcammack', 'awe', 'bless', 'pathetic', 'antisemitic', 'kanye', 'ass', 'kissing', 'heart', 'favor', 'tonight', 'bc', 'going', 'us', 'tweets', 'remind', 'kat', 'kind', 'trash', 'simps', 'jew', 'hater', 'abhorrent', 'remains', 'silent']"
D54,"['half', 'black', 'half', 'jewish', 'person', 'thought', 'came', 'today', 'ye', 'billionaire', 'recent', 'statements', 'still', 'currently', 'far', 'wealthy', 'us', 'ever', 'jews', 'done', 'dirty', 'right', 'antisemitism', 'hebrew', 'kanye']"
D55,['kanye']
D56,"['see', 'wall', 'bounce', 'apex', 'apexlegends', 'apexmobile', 'twitter', 'america', 'media', 'memes', 'hockey', 'tmz', 'comedy', 'support', 'fomc', 'nft', 'meta', 'viral', 'trends', 'fifa', 'worldcup', 'podcast', 'funny', 'election', 'sale', 'national', 'kanye', 'holiday', 'deals', 'coin', 'happy', 'community', 'digital', 'https', 'co', 'iwwooakfhv']"
D57,"['lorafrimanee', 'put', 'kanye']"
D58,"['looking', 'truth', 'https', 'co', 'juo6x054nu', 'thenoticing', 'noticing', 'trump', 'elon', 'musk', 'donald', 'kanye', 'truth', 'redpill', 'facts', 'ye', 'https', 'co', '8glnskh5eb']"
D59,"['kareem', 'abdul', 'jabbar', 'retired', 'nba', '1989', 'remains', 'one', 'greatest', 'basketball', 'players', 'time', 'many', 'argue', 'simply', 'greatest', 'abduljabbar', 'antisemitism', 'kanye', 'kareem', 'kyrie', 'https', 'co', 'afaq2v303z', 'https', 'co', 'afaq2v303z']"
D60,"['culture', 'council', 'podcast', 'episode', '24', 'live', 'live', 'podcast', 'newepisode', 'elon', 'kanye', 'twitch', 'youtube', 'twitter', 'decent', 'culture', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspaces', 'omegle', 'follow', 'like', 'subscribe', 'https', 'co', 'bi0ykpxcln']"
D61,"['culture', 'council', 'podcast', 'episode', '24', 'live', 'live', 'podcast', 'newepisode', 'elon', 'kanye', 'twitch', 'youtube', 'twitter', 'decent', 'culture', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspaces', 'omegle', 'follow', 'like', 'subscribe', 'https', 'co', 'an6bye2wzv']"
D62,"['culture', 'council', 'podcast', 'episode', '24', 'live', 'live', 'podcast', 'newepisode', 'elon', 'kanye', 'twitch', 'youtube', 'twitter', 'decent', 'culture', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspaces', 'omegle', 'follow', 'like', 'subscribe', 'https', 'co', '4j1hckqklq']"
D63,"['culture', 'council', 'podcast', 'episode', '24', 'live', 'live', 'podcast', 'newepisode', 'elon', 'kanye', 'twitch', 'youtube', 'twitter', 'decent', 'culture', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspaces', 'omegle', 'follow', 'like', 'subscribe', 'https', 'co', 'f8ejf26dvz']"
D64,"['check', 'ismashed', 'phraze', 'spotify', 'youtube', 'applemusic', 'https', 'co', 'al5oe2kfn1', 'ismashed', 'alternativefacts', 'album', 'phraze', 'lbm', 'hiphop', 'rap', 'music', 'beyonce', 'jayz', 'taylorswift', 'jenniferlopez', 'kanye', 'amberrose', 'kimkardashian', 'cardib', 'brittanyspears', 'christinaaguilera', 'jen']"
D65,"['elonmusk', 'could', 'worse', 'appointing', 'kanye']"
D66,"['else', 'thinks', 'elonmusk', 'kanye', 'ye', 'need', 'conservatorship', 'way', 'britneyspears', 'ever', 'elon', 'needs', 'see', 'yeezy', 'imploded', 'gon', 'na', 'happen', 'tesla']"
D67,"['patriots', 'jews', 'league', 'everyboyishitler', 'kanye', 'jew', 'fifaworldcup', 'messi', 'uvaldemassacre']"
D68,"['kanye', 'west', 'vs', 'george', 'floyd', 'manolo', 'pod', 'ye', 'ye24', 'kanyewest', 'kanye', 'georgefloyd', 'blm', 'podcasting', 'newpodcast', 'miguelcamachio', 'danieleyva2', 'https', 'co', 'rrwgtglsq5']"
D69,"['elon', 'musk', 'kanye', 'west', 'suspending', 'account', 'kanyewest', 'teamkanyedaily', 'memelyxyz', 'kanye', 'hotnews', 'elonmusk', 'twitter', 'elonmeme', 'viralvideo', 'memely', 'https', 'co', 'qu7w2klecw']"
D70,"['wow', 'nazi', 'much', 'newyorktimes', 'kanye', 'https', 'co', 's6y8ndd6wt']"
D71,"['think', 'colonisation', 'helped', 'africa', 'colonialism', 'africa', 'nigeria', 'kanye']"
D72,"['nbc', 'news', 'nypd', 'searching', 'suspect', 'said', 'kanye', '2024', 'antisemitic', 'attack', 'inside', 'central', 'park', 'new', 'york', 'police', 'department', 'asking', 'tips', 'suspect', 'assaulted', '63', 'year', 'old', 'man', 'central', 'park', 'last', 'week', 'https', 'co', 'vdeyjfxd0k']"
D73,"['nick', 'fuentes', 'bad', 'influence', 'kanye', 'becoming', 'babylon', 'wolf', 'sheep', 'amp', 'apos', 'clothing', 'https', 'co', 'fnohqs6hhq']"
D74,"['culture', 'council', 'podcast', 'going', 'live', '8pm', 'est', 'twitter', 'twitter', 'spaces', 'youtube', 'amp', 'twitch', 'hop', 'space', 'chat', 'let', 'connect', 'decent', 'live', 'culturecouncil', 'youtube', 'twitchtv', 'podcast', 'twitterspaces', 'like', 'follow', 'subscribe', 'elon', 'omegle', 'twitter', 'kanye', 'trump']"
D75,"['one', 'k4s', 'ent', 'hflmag', 'cover', 'feature', 'rezasarrafieh', 'memorable', 'moments', 'working', 'rocnation', 'lilnasx', 'snohalegrah', 'djkhaled', 'rnb', 'hiphop', 'rocnation', 'vicmensa', 'jcole', 'kanye', 'hflmag', 'https', 'co', 'hr63qxp0yj', 'https', 'co', 'zd04faweaj']"
D76,"['people', 'feeling', 'like', 'cocky', 'shit', 'say', 'could', 'imagine', 'shit', 'think', 'kanye', 'heardemye']"
D77,"['sooooo', 'kanye', 'still', 'get', 'paid', 'song', 'snippet', 'blackadam', 'thought', 'cancelled']"
D78,"['jay', 'z', 'surprises', 'kanye', 'bet', 'awards', 'kanye', 'kanyewest', 'ye', 'donda', 'yeezy', 'jayz', 'https', 'co', 'f172ulbuko']"
D79,"['live', 'like', 'die', 'tomorrow', 'go', 'kanyewest', 'kanyewestmotivation', 'kanyewestinterview', 'kanye', 'livelikeyouweredying', 'liveliketheresnotomorrow', 'goforit', 'betruetoyourself', 'motivation', 'motivationalquotes', 'inspirationalquotes', 'life', 'livefortoday', 'lifequotes', 'fyp', 'fypシ', 'viral', 'https', 'co', 'nu7daysvxj']"
D80,"['djvlad', 'looooooovessss', 'kanye', 'lmao', 'every', 'segment', 'kanye', 'claim', 'fw', 'hate', 'man', 'wearing', 'yeezys', 'kanye']"
D81,"['want', 'find', 'uncensored', 'information', 'https', 'co', 'juo6x054nu', 'thenoticing', 'noticing', 'trump', 'elon', 'musk', 'donald', 'kanye', 'truth', 'redpill', 'facts', 'ye', 'https', 'co', '1ilq3narzv']"
D82,"['raw', 'story', 'kanye', 'west', 'ron', 'desantis', 'resurgence', 'antisemitism', 'hard', 'truths', 'often', 'hidden', 'grim', 'realities', 'time', 'far', 'reaching', 'events', 'appear', 'societies', 'suggesting', 'profound', 'political', 'moral', 'https', 'co', 'cdivlw5pln']"
D83,"['kanye', 'west', 'ahead', 'time', 'kanye', 'ye', 'kanyewest', 'interview', 'https', 'co', 'idgfwjnolr', 'via', 'youtube']"
D84,"['kanye', 'calls', 'davechappelle', 'hack', 'points', 'joke', 'stole', 'owenbenjamin', 'steal', 'joke', 'https', 'co', 'cxufv6zxwu']"
D85,"['elon', 'hates', 'people', 'question', 'hiding', 'elon', 'insecure', 'weak', 'man', 'hides', 'behind', 'money', 'elonthesnowflake', 'elonjet', 'freespeech', 'censorship', 'policy', 'twitter', 'joe', 'trump', 'black', 'kanye', 'worldcupfinal', 'ukraineunderattack', 'russiaisaterroiststate']"
D86,"['looked', 'tweets', 'tweets', 'million', 'dollar', 'tweets', 'million', 'streams', 'ifykyk', 'kanye', 'maskoff']"
D87,"['pov', 'nativity', 'play', 'donda', 'academy', 'kanyewest', 'kanye', 'https', 'co', 'lbkmp4nt6p']"
D88,"['one', 'k4s', 'ent', 'hflmag', 'cover', 'feature', 'rezasarrafieh', 'memorable', 'moments', 'working', 'rocnation', 'lilnasx', 'snohalegrah', 'djkhaled', 'rnb', 'hiphop', 'rocnation', 'vicmensa', 'jcole', 'kanye', 'hflmag', 'https', 'co', 'hr63qxp0yj', 'https', 'co', 'xdpfiuphi7']"
D89,"['last', 'year', 'pantsed', 'simple', 'kanye', 'west', 'orgy']"
D90,"['click', 'image', 'shop', 'https', 'co', '5tspype5lb', 'discounted', 'prices', 'fast', 'amp', 'insured', 'worldwide', 'shipping', 'kanye', 'kanyewest', 'kanyeloves', 'kanyeweststyle', 'https', 'co', 'wmoqswiusy']"
D91,"['andicougevan', '7veritas4', 'agreed', 'also', 'kanye', 'entered', 'thread', 'https', 'co', 'l8un3wanfc']"
D92,"['standing', 'kanye', 'shit', 'much', 'different', 'kanye', 'got', 'cancelled', 'someone', 'called', 'map', 'pedophile', 'hired', 'mfer', 'hire', 'pos', 'like', 'gunn', 'firejamesgunn', 'wbd', 'must', 'like', 'pedos', 'fuckpedogunn', 'toallpedos', 'https', 'co', '8dptsaeoq3']"
D93,"['adidas', 'ever', 'withdrawn', 'collaboration', 'balenciaga', 'pedophile', 'scandal', 'betray', 'persecute', 'steal', 'kanye', 'saying', 'genocides', 'murderers', 'also', 'deserve', 'love', 'yes', 'adidasus', 'pedophiles', 'gt', 'christians', 'welcome', 'hell']"
D94,"['kanye', 'west', 'quote', 'day', '2024', 'kanye', 'west', 'kanyewest', 'ye', 'oftheday', 'otd', 'https', 'co', 'xwi3p0me24']"
D95,"['elonmusk', 'shefvaidya', 'twitter', 'verified', 'rw', 'opportunist', 'cc', 'worth', 'investigating', 'kanye', 'total', 'ban', 'twitter', 'nazi', 'sympathiser']"
D96,"['yall', 'got', 'ta', 'chill', 'ye', 'nazi', 'thing', 'even', 'worse', 'ye', 'ye24', 'kanyewest', 'kanye']"
D97,"['sixers', 'little', 'tone', 'deaf', 'lately', 'new', 'stadium', 'chinatown', 'etc', 'little', 'advice', 'fave', 'team', 'maybe', 'play', 'kanye', 'music', 'loudspeakers', 'jewish', 'heritage', 'hanukkah', 'celebration', 'night', 'yes', 'soon']"
